title,shortname,year,videoid,wiki,blurb,imdb,color
Delicatessen,deli,1991,Tg3V8HDK5go,https://en.wikipedia.org/wiki/Delicatessen_(film),Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,http://www.imdb.com/title/tt0101700/,#0b8495
The City of Lost Children,city,1995,CNYG9cXTSds,https://en.wikipedia.org/wiki/The_City_of_Lost_Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",http://www.imdb.com/title/tt0112682/,#bc8d57
Amélie,amelie,2001,B-uxeZaM-VM,https://en.wikipedia.org/wiki/Am%C3%A9lie,"Amelie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",http://www.imdb.com/title/tt0211915/,#e3bd5a
A Very Long Engagement,long,2004,BNx2iuOGVVI,https://en.wikipedia.org/wiki/A_Very_Long_Engagement,"The story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",http://www.imdb.com/title/tt0344510/,#5f8f22
Micmacs,micmacs,2009,buarPFzHmBw,https://en.wikipedia.org/wiki/Micmacs_(film),A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.,http://www.imdb.com/title/tt1149361/,#cd6912
The Young and Prodigious T.S. Spivet,spivet,2013,wjOYX_a8GXw,https://en.wikipedia.org/wiki/The_Young_and_Prodigious_T.S._Spivet,A ten-year-old cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country aboard a freight train to receive an award at the Smithsonian Institute.,http://www.imdb.com/title/tt1981107/,#be1d1d
